metric,variant,param,coef,std_err,pvalue
avg_sentence_length,sarimax,post_0,0.9747209238762328,0.5697562711490741,0.08712390775384572
avg_sentence_length,sarimax,time_post_0,-0.027473069382630534,0.06900436897569502,0.6905305165130602
avg_sentence_length,sarimax,post_1,0.37907183187227617,0.5247416659882377,0.4700503996836145
avg_sentence_length,sarimax,time_post_1,0.10521961950077113,0.0448487617761715,0.018971085496729392
avg_sentence_length,sarimax,mo_2,0.1385635004133261,0.3686960756321872,0.7070504332510251
avg_sentence_length,sarimax,mo_3,-0.10718971371693438,0.36740578342895985,0.7704796991323115
avg_sentence_length,sarimax,mo_4,0.4130440972956062,0.42705726561674173,0.3334507215754886
avg_sentence_length,sarimax,mo_5,0.1697849144248838,0.5460740748102815,0.7558620479840044
avg_sentence_length,sarimax,mo_6,0.5633865049773507,0.349761107125866,0.10722873599916741
avg_sentence_length,sarimax,mo_7,0.19913009229009546,0.47256670131309647,0.6734777204938954
avg_sentence_length,sarimax,mo_8,0.11592824815423973,0.4428571819624424,0.7934961166647556
avg_sentence_length,sarimax,mo_9,0.24262226912519919,0.7025547975603814,0.7298366436538379
avg_sentence_length,sarimax,mo_10,0.20185524919568335,0.38547098273219244,0.6005159179434572
avg_sentence_length,sarimax,mo_11,-0.26072410260853845,0.3345926796393301,0.4358452111561253
avg_sentence_length,sarimax,mo_12,0.37542395895525804,0.25799563328106523,0.14562600889339652
avg_sentence_length,sarimax,ar.L1,-0.2355434628992401,0.1561265150637167,0.1313830155013004
avg_sentence_length,sarimax,ma.L1,0.4209466809779267,0.26466709898961016,0.11172754097958218
avg_sentence_length,sarimax,sigma2,0.20063382237082134,0.05783589571377491,0.0005223624682875057
avg_word_length,ols,const,4.9992738036792,0.06674318142342016,4.013591972431314e-41
avg_word_length,ols,time,-0.0016824510740244963,0.0022572348778049844,0.46089353062028615
avg_word_length,ols,post_0,-0.01430823279448612,0.05085553371051527,0.7800524343349311
avg_word_length,ols,time_post_0,0.013677003734506893,0.004024058039559145,0.0016672642046871027
avg_word_length,ols,post_1,-0.05717332179451046,0.05611552147393668,0.3150725477513983
avg_word_length,ols,time_post_1,-0.0008046910674378641,0.00481550141232563,0.8682230983070857
avg_word_length,ols,mo_2,-0.05272925809363915,0.052390931634761224,0.32091272108962315
avg_word_length,ols,mo_3,-0.060877334359015545,0.05607793913190978,0.2848790945104572
avg_word_length,ols,mo_4,-0.04575395062550136,0.05624038861691331,0.4212554574270735
avg_word_length,ols,mo_5,-0.016787245389498107,0.05647213945277111,0.7679720733592915
avg_word_length,ols,mo_6,-0.058726987239021256,0.05677234295902869,0.3078345761666355
avg_word_length,ols,mo_7,-0.0571008319105048,0.057024909980537816,0.3233499844542043
avg_word_length,ols,mo_8,-0.020133729783776033,0.056921374015671565,0.7256184824911247
avg_word_length,ols,mo_9,-0.04290096422173573,0.05174426457812832,0.41251379032355867
avg_word_length,ols,mo_10,-0.05808639435828944,0.05691797442763881,0.31428752775962177
avg_word_length,ols,mo_11,-0.03892041557218184,0.05643397545372352,0.4948281523584322
avg_word_length,ols,mo_12,-0.06171698573262674,0.05222689339450658,0.24506864641614104
avg_word_length,hc1,const,4.9992738036792,0.10040447729440886,0.0
avg_word_length,hc1,time,-0.0016824510740244963,0.00299044390536425,0.5737010667725646
avg_word_length,hc1,post_0,-0.01430823279448612,0.046648464121928766,0.7590529825221929
avg_word_length,hc1,time_post_0,0.013677003734506893,0.004847247060948661,0.00477843858308296
avg_word_length,hc1,post_1,-0.05717332179451046,0.06251770027116442,0.3604467438454101
